Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,191.8,193.0,191.35,192.25,161.77,2690448
2017-01-03,193.4,193.75,191.15,192.5,161.98,4764310
2017-01-04,193.5,196.75,192.1,194.8,163.92,7507779
2017-01-05,195.3,200.25,195.3,199.65,168.0,6831388
2017-01-06,200.0,206.95,200.0,202.55,170.44,8399536
2017-01-09,203.95,204.95,197.1,198.0,166.61,4783989
2017-01-10,198.9,203.0,197.7,198.45,166.99,6865373
2017-01-11,198.6,200.0,197.3,197.65,166.32,3657809
2017-01-12,198.5,201.7,198.5,199.55,167.92,7180398
2017-01-13,203.0,203.95,200.05,201.3,169.39,7173268
2017-01-16,201.0,201.8,198.05,198.35,166.91,4070898
2017-01-17,199.0,199.65,193.0,194.8,163.92,4631529
2017-01-18,195.5,198.4,193.75,198.0,166.61,9444964
2017-01-19,197.85,201.45,196.85,200.85,169.01,11378619
2017-01-20,200.85,202.0,195.45,197.3,166.02,7834336
2017-01-23,197.3,201.8,197.3,199.9,168.21,5350419
2017-01-24,201.15,202.2,199.35,201.6,169.64,3600754
2017-01-25,201.95,205.7,201.95,204.9,172.42,11413512
2017-01-27,206.0,208.0,203.15,204.5,172.08,5089894
2017-01-30,204.5,205.45,200.8,201.85,169.85,4594038
2017-01-31,210.0,211.8,201.0,202.55,170.44,39669868
2017-02-01,203.0,205.0,199.5,200.2,168.46,11271144
2017-02-02,201.0,204.5,200.4,200.85,169.01,8549969
2017-02-03,201.7,203.2,200.55,200.95,169.09,4940894
2017-02-06,202.8,202.85,198.75,199.0,167.45,5926274
2017-02-07,198.0,199.5,192.65,193.3,164.52,10805646
2017-02-08,194.0,196.0,192.55,194.4,165.45,7106853
2017-02-09,195.45,196.2,192.45,192.9,164.18,6092204
2017-02-10,194.0,195.45,193.1,193.65,164.81,6287846
2017-02-13,194.3,194.5,190.8,192.25,163.62,4083916
2017-02-14,193.0,196.2,191.85,195.7,166.56,7785934
2017-02-15,195.9,197.8,194.15,194.95,165.92,5793110
2017-02-16,196.05,196.3,193.75,194.1,165.2,3343438
2017-02-17,195.0,195.2,193.5,194.4,165.45,3230898
2017-02-20,194.7,196.2,192.25,195.3,166.22,8954741
2017-02-21,195.75,196.75,194.5,196.25,167.03,3280290
2017-02-22,198.0,198.5,195.1,195.6,166.47,5671343
2017-02-23,195.9,197.6,194.35,196.0,166.81,20504597
2017-02-27,197.0,198.0,193.8,194.7,165.71,7881156
2017-02-28,197.1,197.3,192.65,193.55,164.73,10367585
2017-03-01,196.7,196.7,193.4,193.85,164.98,11243767
2017-03-02,194.8,194.9,192.15,192.7,164.01,6978509
2017-03-03,192.35,193.5,191.6,193.05,164.3,4294857
2017-03-06,193.5,194.75,193.0,193.8,164.94,3847930
2017-03-07,194.0,196.95,193.5,196.4,167.15,7768654
2017-03-08,197.0,197.2,192.3,192.95,164.22,6553289
2017-03-09,191.5,191.7,189.1,189.65,161.41,6323875
2017-03-10,189.7,192.45,188.3,191.6,163.07,7822853
2017-03-14,194.6,194.6,191.5,191.9,163.32,8850096
2017-03-15,191.3,192.95,190.5,190.7,162.3,4219974
2017-03-16,193.0,193.6,191.25,191.8,163.24,6732778
2017-03-17,192.0,192.4,189.45,190.0,161.71,7462534
2017-03-20,190.05,191.7,189.7,190.85,162.43,5070076
2017-03-21,191.0,194.45,191.0,194.05,165.15,6715278
2017-03-22,192.5,193.9,191.0,192.5,163.84,4960436
2017-03-23,193.55,194.5,192.75,193.6,164.77,4208188
2017-03-24,193.35,193.4,191.35,191.9,163.32,9289757
2017-03-27,191.8,192.0,188.5,188.9,160.77,4780041
2017-03-28,189.7,190.0,186.3,186.9,159.07,9790503
2017-03-29,187.9,188.1,186.4,186.95,159.11,9676087
2017-03-30,187.05,188.25,183.0,183.9,156.52,14882692
2017-03-31,184.9,186.3,184.2,185.0,157.45,8217678
2017-04-03,185.2,186.35,184.8,185.8,158.13,4802523
2017-04-05,186.35,186.7,184.75,186.25,158.52,6772865
2017-04-06,186.0,188.1,185.2,187.55,159.62,7216198
2017-04-07,187.75,188.45,185.65,186.4,158.64,8049423
2017-04-10,187.3,187.75,186.2,186.45,158.69,3953031
2017-04-11,187.6,188.4,186.85,187.85,159.88,7982429
2017-04-12,188.05,188.7,185.75,186.7,158.9,4050669
2017-04-13,187.0,187.3,184.35,184.8,157.28,3338347
2017-04-17,185.4,185.4,182.5,183.1,155.83,3070001
2017-04-18,183.35,184.4,180.5,180.95,154.01,3358340
2017-04-19,181.0,181.95,179.2,179.85,153.07,4198156
2017-04-20,181.15,183.4,178.5,179.1,152.43,9102962
2017-04-21,180.1,182.05,179.7,180.25,153.41,4117134
2017-04-24,180.5,182.2,180.5,181.45,154.43,4311732
2017-04-25,182.4,182.45,180.45,181.5,154.47,5784684
2017-04-26,181.6,181.8,179.8,180.1,153.28,4850265
2017-04-27,180.7,180.8,178.3,179.1,152.43,7471812
2017-04-28,180.0,187.15,179.4,186.55,158.77,10789077
2017-05-02,188.0,193.9,187.65,192.4,163.75,17143827
2017-05-03,193.95,194.75,190.65,191.1,162.64,6245067
2017-05-04,192.0,192.45,188.4,188.9,160.77,4432281
2017-05-05,188.5,188.6,182.25,183.8,156.43,8117137
2017-05-08,184.6,188.2,184.0,185.95,158.26,5592129
2017-05-09,186.9,187.75,185.5,186.1,158.39,4713977
2017-05-10,186.95,188.45,185.6,187.95,159.96,4038348
2017-05-11,189.1,190.25,183.1,183.6,156.26,10796830
2017-05-12,184.75,186.4,184.0,184.85,157.32,6242350
2017-05-15,187.3,188.3,186.15,186.75,158.94,5766195
2017-05-16,187.45,187.5,184.6,185.15,157.58,6960470
2017-05-17,185.2,186.65,183.9,184.5,157.03,6074714
2017-05-18,184.4,184.4,180.5,180.9,153.96,4628258
2017-05-19,181.9,182.65,179.15,180.05,153.24,5853904
2017-05-22,181.05,181.6,176.6,177.15,150.77,5558525
2017-05-23,177.9,177.9,173.7,174.65,148.64,5162996
2017-05-24,174.3,176.25,172.9,173.7,147.83,6540417
2017-05-25,174.8,175.65,173.5,174.15,148.22,8230189
2017-05-26,174.7,177.5,174.3,175.75,149.58,6460263
2017-05-29,174.5,177.3,171.2,175.75,149.58,6629243
2017-05-30,175.1,179.35,173.1,178.65,152.05,6532975
2017-05-31,178.55,178.55,175.25,177.0,150.64,10715866
2017-06-01,176.9,176.9,172.6,174.0,148.09,8676208
2017-06-02,174.9,175.45,173.1,174.0,148.09,4039371
2017-06-05,174.35,178.5,174.1,175.75,149.58,5836542
2017-06-06,176.0,176.0,171.1,171.45,145.92,6437174
2017-06-07,171.5,174.0,171.5,172.05,146.43,7404338
2017-06-08,171.25,171.7,169.0,170.55,145.15,5798852
2017-06-09,171.05,171.25,167.8,169.2,144.0,6859186
2017-06-12,169.5,170.5,168.15,168.5,143.41,4382264
2017-06-13,169.1,169.75,167.85,169.1,143.92,5988071
2017-06-14,169.2,170.05,168.15,169.5,144.26,5698882
2017-06-15,170.05,170.9,166.8,167.15,142.26,8396153
