Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,178.14,179.4,176.44,176.83,173.01,1230474
2017-01-03,177.38,177.79,174.64,175.12,171.34,1843468
2017-01-04,175.12,179.1,174.79,178.35,174.49,3025319
2017-01-05,178.91,182.21,178.91,180.15,176.25,2608498
2017-01-06,179.44,180.04,175.88,176.23,172.42,4190860
2017-01-09,175.88,177.92,173.18,177.0,173.17,1961124
2017-01-10,177.23,179.57,176.72,178.69,174.82,1764191
2017-01-11,179.21,180.56,178.12,178.57,174.71,2253514
2017-01-12,178.5,181.59,177.84,181.2,177.28,1870738
2017-01-13,181.91,182.42,180.13,181.74,177.81,2161394
2017-01-16,181.09,182.89,179.93,181.78,177.85,1613666
2017-01-17,182.01,182.89,180.19,180.9,176.99,1474471
2017-01-18,180.9,182.62,180.0,181.11,177.19,1431810
2017-01-19,181.27,181.67,178.22,179.62,175.74,2392639
2017-01-20,178.71,179.93,178.12,179.21,175.34,2038610
2017-01-23,177.21,181.61,176.91,179.91,176.01,3054236
2017-01-24,180.99,181.12,178.5,180.56,176.66,1960583
2017-01-25,180.75,181.5,176.7,177.64,173.79,5453254
2017-01-27,176.06,177.64,174.11,174.58,170.8,5136078
2017-01-30,174.0,175.5,171.56,174.66,170.88,4926966
2017-01-31,174.68,174.68,167.01,171.75,168.03,7314203
2017-02-01,172.88,172.88,168.75,171.0,167.3,4375377
2017-02-02,171.0,171.73,167.29,170.87,169.15,4085865
2017-02-03,171.0,172.35,170.29,171.66,169.93,2341226
2017-02-06,171.99,173.55,170.44,172.91,171.17,3299759
2017-02-07,173.25,173.25,170.83,171.96,170.23,2229884
2017-02-08,171.88,174.43,171.41,172.69,170.95,3503852
2017-02-09,171.86,175.07,171.51,174.75,172.99,2637068
2017-02-10,175.26,177.07,174.15,175.97,174.2,2046724
2017-02-13,175.5,178.5,175.22,177.92,176.13,2261735
2017-02-14,178.93,179.14,177.07,178.76,176.97,2309530
2017-02-15,178.71,179.74,175.73,178.01,176.22,2820244
2017-02-16,177.38,180.71,177.38,180.3,178.49,2833505
2017-02-17,180.75,181.37,177.77,178.26,176.46,2105346
2017-02-20,178.12,179.02,177.39,178.37,176.58,1527271
2017-02-21,178.12,180.28,177.81,178.43,176.63,3414705
2017-02-22,178.16,179.08,176.32,177.94,176.15,2779388
2017-02-23,177.94,183.47,176.83,182.29,180.45,4346932
2017-02-27,180.0,184.73,179.87,183.66,181.81,3764100
2017-02-28,183.75,184.57,182.64,183.3,181.46,2700569
2017-03-01,183.0,185.68,182.18,183.21,181.36,2713151
2017-03-02,185.25,185.79,183.04,183.82,181.98,2711537
2017-03-03,184.05,185.87,182.7,185.19,183.33,1973647
2017-03-06,184.24,184.74,183.23,184.46,182.61,1571650
2017-03-07,185.06,187.35,184.46,185.68,183.81,4400540
2017-03-08,185.49,186.07,183.49,185.66,183.8,1532335
2017-03-09,184.88,184.88,181.26,181.69,179.86,1879719
2017-03-10,181.91,183.36,181.35,182.64,180.81,1457202
2017-03-14,183.75,189.23,183.52,188.01,186.12,3276623
2017-03-15,189.64,189.71,184.65,185.55,183.68,4803804
2017-03-16,186.49,188.59,185.62,187.71,185.82,4424444
2017-03-17,189.0,190.12,187.11,189.09,187.19,4437908
2017-03-20,189.0,189.09,185.7,186.56,184.69,1875940
2017-03-21,184.91,188.25,184.91,186.99,185.11,2975695
2017-03-22,185.06,188.77,184.5,187.71,185.82,5310041
2017-03-23,188.62,192.0,187.84,191.25,189.33,7461435
2017-03-24,191.04,192.75,191.04,192.47,190.53,4031028
2017-03-27,190.63,192.17,188.55,189.0,187.1,2616356
2017-03-28,189.38,191.62,188.51,190.33,188.42,1661626
2017-03-29,190.67,192.71,188.32,192.09,190.16,2690353
2017-03-30,191.53,194.51,189.9,193.48,191.54,7145160
2017-03-31,192.07,194.12,191.18,193.39,191.44,4030822
2017-04-03,193.67,193.69,189.62,190.16,188.25,2080143
2017-04-05,189.75,192.0,188.29,191.49,189.57,3251407
2017-04-06,190.16,193.33,189.92,193.01,191.07,3990145
2017-04-07,192.52,192.56,190.84,191.96,190.03,6098489
